gliederungsschluessel,gliederungsebene,name,url
10205304,OV,Markt Zellingen,
10205305,OV,Marktheidenfeld,
10205306,OV,Karlstadt,
10205400,KV,Memmingen,http://www.gruene-memmingen.de
10205401,OV,Trunkelsberg,
10205500,KV,Miesbach,http://www.gruene-miesbach.de
10205501,OV,Gmund,
10205502,OV,Hausham,
10205503,OV,Holzkirchen,http://www.holzkirchen.de/gruene
10205504,OV,Miesbach,
10205505,OV,Otterfing,
10205506,OV,Schliersee,http://www.gruene-schliersee.de
10205507,OV,Warngau,
10205600,KV,Miltenberg,http://www.gruene-miltenberg.de
10205601,OV,Kleinwallstadt,
10205602,OV,Klingenberg/Main,
10205603,OV,Leidersbach,
10205604,OV,Miltenberg,
10205605,OV,Obernburg,
10205607,OV,Erlenbach,
10205608,OV,Wörth am Main,
10205609,OV,Eschau,
10205700,KV,Mühldorf,http://www.gruene-muehldorf.de
10205701,OV,Ampfing,
10205702,OV,Mühldorf,
10205703,OV,Waldkraiburg,
10205704,OV,Kraiburg,
10205800,KV,München-Land,http://www.gruene-ml.de
10205801,OV,Baierbrunn,http://www.gruene-ml.de/baierbrunn
10205802,OV,Garching,http://www.gruene-ml.de/garching
10205803,OV,Gräfelfing,http://www.gruene-graefelfing.de
10205804,OV,Höhenkirchen-Siegertsbrunn,http://www.gruene-ml.de/hoehenkirchen
10205805,OV,Ismaning,http://www.gruene-ml.de/ismaning
10205806,OV,Kirchheim-Heimstetten,http://www.gruene-ml.de/kirchheim
10205807,OV,Neubiberg,http://www.gruene-ml.de/neubiberg
10205808,OV,Oberhaching,http://www.gruene-ml.de/oberhaching
10205809,OV,Oberschleißheim,http://www.gruene-ml.de/oberschleissheim
10205810,OV,Ottobrunn,http://www.gruene-ml.de/ottobrunn
10205811,OV,Planegg,
10205812,OV,Pullach,http://www.gruene-ml.de/pullach
10205813,OV,Putzbrunn,http://www.gruene-ml.de/putzbrunn
10205814,OV,Sauerlach,http://www.gruene-ml.de/sauerlach
10205815,OV,Schäftlarn,http://www.gruene-ml.de/schaeftlarn
10205816,OV,Taufkirchen,http://www.gruene-taufkirchen.de
10205817,OV,Unterhaching,http://www.gruene-ml.de/unterhaching
10205818,OV,Unterschleißheim,http://www.gruene-ml.de/unterschleissheim
10205819,OV,Haar,http://www.gruene-ml.de/haar
10205820,OV,Neuried,http://www.gruene-ml.de/neuried
10205821,OV,Unterföhring,http://www.gruene-ml.de/unterfoehring
10205822,OV,Hohenbrunn,www.gruene-hohenbrunn.de
10205823,OV,Grasbrunn,
10205824,OV,Brunnthal,
10205825,OV,Grünwald,
10205826,OV,Aying,
10205828,OV,Feldkirchen,
10206400,KV,München,http://www.gruene-muenchen.de
10206402,OV,Allach-Untermenzing,http://basis.gruene.de/allach-untermenzing/
10206404,OV,Berg a. Laim / Trudering,
10206406,OV,Bogenhausen,
10206408,OV,Giesing/Harlaching,http://www.gruene-muenchen-giesing.de
10206410,OV,Hadern,
10206412,OV,Haidhausen,http://www.gruene-muenchen-au-haidhausen.de
10206414,OV,München-Nord,http://www.gruene-muenchen-nord.de
10206416,OV,Neuhausen-Nymphenburg,
10206418,OV,Pasing-Obermenzing-Aubing,http://www.gruene-muenchen-pasing.de
10206420,OV,Ramersdorf-Perlach,http://www.gruene-muenchen-perlach.de/
10206422,OV,Schwabing,http://www.gruene-schwabing.de
10206424,OV,Sendling,http://www.gruene-muenchen-sendling.de
10206426,OV,STOFF,http://www.gruene-muenchen-stoff.de/ov_stoff_portrait.9801.0.html
10206428,OV,Westend/Laim,http://www.gruene-muenchen-westend.de
10206430,OV,Zentral,http://www.gruene-muenchen-zentral.de
10206500,KV,Neu-Ulm,http://www.gruene-neu-ulm.de
10206501,OV,Neu-Ulm,
10206502,OV,Senden,
10206503,OV,Vöhringen,
10206505,OV,Illertissen,
10206507,OV,Rothtal,
10206600,KV,Neuburg-Schrobenhausen,http://www.gruene-neuburg.de/
10206601,OV,Neuburg,
10206602,OV,Karlskron,
10206700,KV,Neumarkt,http://www.gruene-neumarkt.de
10206701,OV,Parsberg-Lupburg,
10206703,OV,Postbauer-Heng,
10206705,OV,Velburg,
10206706,OV,Neumarkt,
10206800,KV,Neustadt/Aisch-Bad Windsheim,http://www.gruene-neustadt-aisch.de
10206801,OV,Gutenstetten,
10206802,OV,Uehlfeld,
10206803,OV,Uffenheim,
10206804,OV,Neustadt/Aisch,
10206806,OV,Markt Erlbach/Neuhof,
10206807,OV,Bad Windsheim,
10206900,KV,Neustadt-Waldnaab,http://www.gruene-weiden.de/kreisverband-neustadtwn
10207000,KV,Nürnberg-Land,http://www.gruene-nuernberger-land.de
10207001,OV,Altdorf,http://www.gruene-nuernberger-land.de/altdorf
10207002,OV,Burgthann,http://www.gruene-burgthann.de
10207003,OV,Feucht,http://www.gruene-nuernberger-land.de/feucht
10207004,OV,Hersbrucker Land,http://www.gruene-nuernberger-land.de/hersbruck
10207005,OV,Lauf,http://www.gruene-nuernberger-land.de/lauf
10207006,OV,Schnaittach,
10207007,OV,Schwarzenbruck,http://www.gruene-nuernberger-land.de/schwarzenbruck
10207009,OV,Winkelhaid,http://www.gruene-nuernberger-land.de/winkelha
10207012,OV,Pommelsbrunn,
10207013,OV,Schwaig-Behringsdorf,
10207014,OV,Röthenbach,http://www.gruene-roethenbach.de
10207015,OV,Rückersdorf,
10207100,KV,Nürnberg-Stadt,http://www.gruene-nuernberg.de
10207101,OV,Gostenhof,
10207102,OV,Buchenbühl-Ziegelstein-Nordostbahnhof,
10207103,OV,Zabo-Mögeldorf-Gleishammer,
10207104,OV,Nordstadt-Johannis,
10207200,KV,Oberallgäu,http://www.gruene-oa.de
10207201,OV,Blaichach,
10207202,OV,Immenstadt,http://www.gruene-immenstadt.de
10207203,OV,Oberstdorf,
10207204,OV,Sonthofen,http://www.gruene-sonthofen.de
10207205,OV,Waltenhofen,
10207206,OV,Weitnau,
10207207,OV,Rettenberg-Burgberg,
10207300,KV,Ostallgäu,http://www.gruene-oal.de
10207302,OV,Füssen,
10207303,OV,Marktoberdorf,
10207304,OV,Buchloe,
10207305,OV,Kaufbeuren,
10207306,OV,Günztal,
10207500,KV,Passau-Land,http://www.gruene-passauland.de
10207502,OV,Tiefenbach,
10207503,OV,Vilshofen,
10207504,OV,Bad Füssing,
10207506,OV,Tittling,
10207507,OV,Windorf,
10207600,KV,Passau-Stadt,http://www.gruene-passau.de
10207700,KV,Pfaffenhofen,http://www.gruene-pfaffenhofen.de
10207701,OV,Pfaffenhofen,
10207702,OV,Wolnzach-Rohrbach,
10207703,OV,Baar-Ebenhausen,
10207704,OV,Reichertshausen,
10207800,KV,Regen,http://www.gruene-regen.de
10207900,KV,Regensburg-Stadt,http://www.gruene-regensburg.de
10207903,OV,Pentling,
10208000,KV,Regensburg-Land,http://www.gruene-regensburg-land.de
10208001,OV,Beratzhausen,
